Accession,Sample Type,Accession,Library Type
1-1,community standard,1-1,dna
1-2,community standard,1-2,dna
1-3,community standard,1-3,dna
2-1,community standard,2-1,dna
2-2,community standard,2-2,dna
2-3,community standard,2-3,dna
3-1,community standard,3-1,dna
3-2,community standard,3-2,dna
3-3,community standard,3-3,dna
4-1,community standard,4-1,dna
4-2,community standard,4-2,dna
4-3,community standard,4-3,dna
5-1,community standard,5-1,dna
5-2,community standard,5-2,dna
5-3,community standard,5-3,dna